Date,Year,Month,Value,Indicator,Source,Frequency,File,Original_Indicator
2009-10,2009,,32447.9,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_CSBL101212.xls,8. Bank Credit (5)
2010-11,2010,,39420.8,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_CSBL101212.xls,8. Bank Credit (5)
2011-12,2011,,46118.5,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_CSBL101212.xls,8. Bank Credit (5)
1990-91,1990,,2658.3,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_CSBL101212.xls,(b) M3
2009-10,2009,,56027.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_CSBL101212.xls,(b) M3
2010-11,2010,,65041.2,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_CSBL101212.xls,(b) M3
2011-12,2011,,73592.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_CSBL101212.xls,(b) M3
1990-91,1990,,1083572.0,GDP,RBI_Bulletin_T1_Legacy,Annual,1T_BU090810_F.xls,1. Gross Domestic Product at Factor Cost (at 2004-05 prices)
2007-08,2007,,3893457.0,GDP,RBI_Bulletin_T1_Legacy,Annual,1T_BU090810_F.xls,1. Gross Domestic Product at Factor Cost (at 2004-05 prices)
1990-91,1990,,212.6,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_BU090810_F.xls,3. General Index of Industrial Production (1)
2007-08,2007,,268.0,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_BU090810_F.xls,3. General Index of Industrial Production (1)
2008-09,2008,,275.4,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_BU090810_F.xls,3. General Index of Industrial Production (1)
2009-10,2009,,304.0,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_BU090810_F.xls,3. General Index of Industrial Production (1)
1990-91,1990,,192541.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_BU090810_F.xls,7. Aggregate Deposits (5)
2007-08,2007,,3196939.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_BU090810_F.xls,7. Aggregate Deposits (5)
2008-09,2008,,3834110.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_BU090810_F.xls,7. Aggregate Deposits (5)
2009-10,2009,,4492826.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_BU090810_F.xls,7. Aggregate Deposits (5)
1990-91,1990,,116301.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_BU090810_F.xls,8. Bank Credit (5)
2007-08,2007,,2361914.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_BU090810_F.xls,8. Bank Credit (5)
2008-09,2008,,2775549.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_BU090810_F.xls,8. Bank Credit (5)
2009-10,2009,,3244788.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_BU090810_F.xls,8. Bank Credit (5)
1990-91 ,1990,,1083572.0,GDP,RBI_Bulletin_T1_Legacy,Annual,1T_BUF090210.xls,1. Gross Domestic Product at Factor Cost (at 1999-00 prices)
2006-07 ,2006,,2871120.0,GDP,RBI_Bulletin_T1_Legacy,Annual,1T_BUF090210.xls,1. Gross Domestic Product at Factor Cost (at 1999-00 prices)
1990-91 ,1990,,212.6,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_BUF090210.xls,3. General Index of  Industrial Production (1)
2006-07 ,2006,,247.1,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_BUF090210.xls,3. General Index of  Industrial Production (1)
2007-08 ,2007,,268.0,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_BUF090210.xls,3. General Index of  Industrial Production (1)
2008-09 ,2008,,275.4,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_BUF090210.xls,3. General Index of  Industrial Production (1)
1990-91 ,1990,,192541.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_BUF090210.xls,7. Aggregate Deposits (5)
2006-07 ,2006,,2611933.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_BUF090210.xls,7. Aggregate Deposits (5)
2007-08 ,2007,,3196939.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_BUF090210.xls,7. Aggregate Deposits (5)
2008-09 ,2008,,3834110.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_BUF090210.xls,7. Aggregate Deposits (5)
1990-91 ,1990,,116301.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_BUF090210.xls,8. Bank Credit (5)
2006-07 ,2006,,1931189.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_BUF090210.xls,8. Bank Credit (5)
2007-08 ,2007,,2361914.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_BUF090210.xls,8. Bank Credit (5)
2008-09 ,2008,,2775549.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_BUF090210.xls,8. Bank Credit (5)
1990-91,1990,,1083572.0,GDP,RBI_Bulletin_T1_Legacy,Annual,1T_BUL070111.xls,1. Gross Domestic Product at Factor Cost (at 2004-05 prices)
2007-08,2007,,3893457.0,GDP,RBI_Bulletin_T1_Legacy,Annual,1T_BUL070111.xls,1. Gross Domestic Product at Factor Cost (at 2004-05 prices)
1990-91,1990,,212.6,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_BUL070111.xls,3. General Index of Industrial Production (1)
2007-08,2007,,277.1,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_BUL070111.xls,3. General Index of Industrial Production (1)
2008-09,2008,,286.1,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_BUL070111.xls,3. General Index of Industrial Production (1)
2009-10,2009,,316.2,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_BUL070111.xls,3. General Index of Industrial Production (1)
1990-91,1990,,192541.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_BUL070111.xls,7. Aggregate Deposits (5)
2007-08,2007,,3196939.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_BUL070111.xls,7. Aggregate Deposits (5)
2008-09,2008,,3834110.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_BUL070111.xls,7. Aggregate Deposits (5)
2009-10,2009,,4492826.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_BUL070111.xls,7. Aggregate Deposits (5)
1990-91,1990,,116301.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_BUL070111.xls,8. Bank Credit (5)
2007-08,2007,,2361914.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_BUL070111.xls,8. Bank Credit (5)
2008-09,2008,,2775549.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_BUL070111.xls,8. Bank Credit (5)
2009-10,2009,,3244788.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_BUL070111.xls,8. Bank Credit (5)
1990-91,1990,,13478.9,GDP,RBI_Bulletin_T1_Legacy,Annual,1T_BUL080812F.xls,1. Gross Domestic Product at Factor Cost (at 2004-05 prices)
2009-10,2009,,45076.4,GDP,RBI_Bulletin_T1_Legacy,Annual,1T_BUL080812F.xls,1. Gross Domestic Product at Factor Cost (at 2004-05 prices)
1990-91,1990,,212.6,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_BUL080812F.xls,3. General Index of Industrial Production (1)
2009-10,2009,,152.9,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_BUL080812F.xls,3. General Index of Industrial Production (1)
2010-11,2010,,165.5,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_BUL080812F.xls,3. General Index of Industrial Production (1)
2011-12,2011,,170.2,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_BUL080812F.xls,3. General Index of Industrial Production (1)
1990-91,1990,,1925.4,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_BUL080812F.xls,7. Aggregate Deposits (5)
2009-10,2009,,44928.3,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_BUL080812F.xls,7. Aggregate Deposits (5)
2010-11,2010,,52079.7,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_BUL080812F.xls,7. Aggregate Deposits (5)
2011-12,2011,,59090.8,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_BUL080812F.xls,7. Aggregate Deposits (5)
1990-91,1990,,1163.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_BUL080812F.xls,8. Bank Credit (5)
2009-10,2009,,32447.9,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_BUL080812F.xls,8. Bank Credit (5)
2010-11,2010,,39420.8,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_BUL080812F.xls,8. Bank Credit (5)
2011-12,2011,,46118.5,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_BUL080812F.xls,8. Bank Credit (5)
1990-91,1990,,2658.3,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,1T_BUL080812F.xls,(b) M3
2009-10,2009,,56027.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,1T_BUL080812F.xls,(b) M3
2010-11,2010,,65041.2,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,1T_BUL080812F.xls,(b) M3
2011-12,2011,,73592.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,1T_BUL080812F.xls,(b) M3
1990-91,1990,,13478.9,GDP,RBI_Bulletin_T1_Legacy,Annual,1T_BUL101012F.xls,1. Gross Domestic Product at Factor Cost (at 2004-05 prices)
2009-10,2009,,45076.4,GDP,RBI_Bulletin_T1_Legacy,Annual,1T_BUL101012F.xls,1. Gross Domestic Product at Factor Cost (at 2004-05 prices)
1990-91,1990,,212.6,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_BUL101012F.xls,3. General Index of Industrial Production (1)
2009-10,2009,,152.9,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_BUL101012F.xls,3. General Index of Industrial Production (1)
2010-11,2010,,165.5,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_BUL101012F.xls,3. General Index of Industrial Production (1)
2011-12,2011,,170.3,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_BUL101012F.xls,3. General Index of Industrial Production (1)
1990-91,1990,,1925.4,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_BUL101012F.xls,7. Aggregate Deposits (5)
2009-10,2009,,44928.3,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_BUL101012F.xls,7. Aggregate Deposits (5)
2010-11,2010,,52079.7,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_BUL101012F.xls,7. Aggregate Deposits (5)
2011-12,2011,,59090.8,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_BUL101012F.xls,7. Aggregate Deposits (5)
1990-91,1990,,1163.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_BUL101012F.xls,8. Bank Credit (5)
2009-10,2009,,32447.9,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_BUL101012F.xls,8. Bank Credit (5)
2010-11,2010,,39420.8,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_BUL101012F.xls,8. Bank Credit (5)
2011-12,2011,,46118.5,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_BUL101012F.xls,8. Bank Credit (5)
1990-91,1990,,2658.3,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,1T_BUL101012F.xls,(b) M3
2009-10,2009,,56027.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,1T_BUL101012F.xls,(b) M3
2010-11,2010,,65041.2,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,1T_BUL101012F.xls,(b) M3
2011-12,2011,,73592.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,1T_BUL101012F.xls,(b) M3
1990-91,1990,,1083572.0,GDP,RBI_Bulletin_T1_Legacy,Annual,1T_BUL110610.xls,1. Gross Domestic Product at  Factor Cost (at 2004-05 prices)
2007-08,2007,,3893457.0,GDP,RBI_Bulletin_T1_Legacy,Annual,1T_BUL110610.xls,1. Gross Domestic Product at  Factor Cost (at 2004-05 prices)
1990-91,1990,,212.6,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_BUL110610.xls,3. General Index of Industrial Production (1)
2007-08,2007,,268.0,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_BUL110610.xls,3. General Index of Industrial Production (1)
2008-09,2008,,275.4,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_BUL110610.xls,3. General Index of Industrial Production (1)
2009-10,2009,,304.1,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_BUL110610.xls,3. General Index of Industrial Production (1)
1990-91,1990,,192541.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_BUL110610.xls,7. Aggregate Deposits (5)
2007-08,2007,,3196939.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_BUL110610.xls,7. Aggregate Deposits (5)
2008-09,2008,,3834110.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_BUL110610.xls,7. Aggregate Deposits (5)
2009-10,2009,,4492826.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_BUL110610.xls,7. Aggregate Deposits (5)
1990-91,1990,,116301.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_BUL110610.xls,8. Bank Credit (5)
2007-08,2007,,2361914.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_BUL110610.xls,8. Bank Credit (5)
2008-09,2008,,2775549.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_BUL110610.xls,8. Bank Credit (5)
2009-10,2009,,3244788.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_BUL110610.xls,8. Bank Credit (5)
1990-91,1990,,265828.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,1T_BUL110610.xls,(b) M3
2007-08,2007,,4017883.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,1T_BUL110610.xls,(b) M3
2008-09,2008,,4777069.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,1T_BUL110610.xls,(b) M3
2009-10,2009,,5579567.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,1T_BUL110610.xls,(b) M3
1990-91,1990,,1083572.0,GDP,RBI_Bulletin_T1_Legacy,Annual,1T_CBL080510.xls,1. Gross Domestic Product at  Factor Cost (at 2004-05 prices)
2007-08,2007,,3893457.0,GDP,RBI_Bulletin_T1_Legacy,Annual,1T_CBL080510.xls,1. Gross Domestic Product at  Factor Cost (at 2004-05 prices)
1990-91,1990,,212.6,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_CBL080510.xls,3. General Index of Industrial Production (1)
2007-08,2007,,268.0,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_CBL080510.xls,3. General Index of Industrial Production (1)
2008-09,2008,,275.4,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_CBL080510.xls,3. General Index of Industrial Production (1)
1990-91,1990,,192541.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_CBL080510.xls,7. Aggregate Deposits (5)
2007-08,2007,,3196939.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_CBL080510.xls,7. Aggregate Deposits (5)
2008-09,2008,,3834110.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_CBL080510.xls,7. Aggregate Deposits (5)
2009-10,2009,,4486574.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_CBL080510.xls,7. Aggregate Deposits (5)
1990-91,1990,,116301.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_CBL080510.xls,8. Bank Credit (5)
2007-08,2007,,2361914.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_CBL080510.xls,8. Bank Credit (5)
2008-09,2008,,2775549.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_CBL080510.xls,8. Bank Credit (5)
2009-10,2009,,3240399.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_CBL080510.xls,8. Bank Credit (5)
1990-91 ,1990,,1083572.0,GDP,RBI_Bulletin_T1_Legacy,Annual,1T_CS090410.xls,1. Gross Domestic Product at  Factor Cost (at 2004-05 prices)
2006-07 ,2006,,2871120.0,GDP,RBI_Bulletin_T1_Legacy,Annual,1T_CS090410.xls,1. Gross Domestic Product at  Factor Cost (at 2004-05 prices)
2007-08 ,2007,,3893457.0,GDP,RBI_Bulletin_T1_Legacy,Annual,1T_CS090410.xls,1. Gross Domestic Product at  Factor Cost (at 2004-05 prices)
1990-91 ,1990,,212.6,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_CS090410.xls,3. General Index of  Industrial Production (1)
2006-07 ,2006,,247.1,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_CS090410.xls,3. General Index of  Industrial Production (1)
2007-08 ,2007,,268.0,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_CS090410.xls,3. General Index of  Industrial Production (1)
2008-09 ,2008,,275.4,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_CS090410.xls,3. General Index of  Industrial Production (1)
1990-91 ,1990,,192541.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_CS090410.xls,7. Aggregate Deposits (5)
2006-07 ,2006,,2611933.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_CS090410.xls,7. Aggregate Deposits (5)
2007-08 ,2007,,3196939.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_CS090410.xls,7. Aggregate Deposits (5)
2008-09 ,2008,,3834110.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_CS090410.xls,7. Aggregate Deposits (5)
1990-91 ,1990,,116301.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_CS090410.xls,8. Bank Credit (5)
2006-07 ,2006,,1931189.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_CS090410.xls,8. Bank Credit (5)
2007-08 ,2007,,2361914.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_CS090410.xls,8. Bank Credit (5)
2008-09 ,2008,,2775549.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_CS090410.xls,8. Bank Credit (5)
1990-91,1990,,1083572.0,GDP,RBI_Bulletin_T1_Legacy,Annual,1T_CS100710.xls,1. Gross Domestic Product at Factor Cost (at 2004-05 prices)
2007-08,2007,,3893457.0,GDP,RBI_Bulletin_T1_Legacy,Annual,1T_CS100710.xls,1. Gross Domestic Product at Factor Cost (at 2004-05 prices)
1990-91,1990,,212.6,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_CS100710.xls,3. General Index of Industrial Production (1)
2007-08,2007,,268.0,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_CS100710.xls,3. General Index of Industrial Production (1)
2008-09,2008,,275.4,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_CS100710.xls,3. General Index of Industrial Production (1)
2009-10,2009,,304.1,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_CS100710.xls,3. General Index of Industrial Production (1)
1990-91,1990,,192541.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_CS100710.xls,7. Aggregate Deposits (5)
2007-08,2007,,3196939.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_CS100710.xls,7. Aggregate Deposits (5)
2008-09,2008,,3834110.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_CS100710.xls,7. Aggregate Deposits (5)
2009-10,2009,,4492826.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_CS100710.xls,7. Aggregate Deposits (5)
1990-91,1990,,116301.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_CS100710.xls,8. Bank Credit (5)
2007-08,2007,,2361914.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_CS100710.xls,8. Bank Credit (5)
2008-09,2008,,2775549.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_CS100710.xls,8. Bank Credit (5)
2009-10,2009,,3244788.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_CS100710.xls,8. Bank Credit (5)
1990-91,1990,,265828.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,1T_CS100710.xls,(b) M3
2007-08,2007,,4017883.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,1T_CS100710.xls,(b) M3
2008-09,2008,,4794812.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,1T_CS100710.xls,(b) M3
2009-10,2009,,5599762.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,1T_CS100710.xls,(b) M3
1990-91,1990,,1083572.0,GDP,RBI_Bulletin_T1_Legacy,Annual,1T_CSB1209.xls,1. Gross Domestic Product at Factor Cost (at 1999-00 prices)
2006-07,2006,,2871120.0,GDP,RBI_Bulletin_T1_Legacy,Annual,1T_CSB1209.xls,1. Gross Domestic Product at Factor Cost (at 1999-00 prices)
1990-91,1990,,212.6,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_CSB1209.xls,3. General Index of Industrial Production (1)
2006-07,2006,,247.1,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_CSB1209.xls,3. General Index of Industrial Production (1)
2007-08,2007,,268.0,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_CSB1209.xls,3. General Index of Industrial Production (1)
2008-09,2008,,275.4,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_CSB1209.xls,3. General Index of Industrial Production (1)
1990-91,1990,,192541.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_CSB1209.xls,7. Aggregate Deposits (5)
2006-07,2006,,2611933.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_CSB1209.xls,7. Aggregate Deposits (5)
2007-08,2007,,3196939.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_CSB1209.xls,7. Aggregate Deposits (5)
2008-09,2008,,3834110.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_CSB1209.xls,7. Aggregate Deposits (5)
1990-91,1990,,116301.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_CSB1209.xls,8. Bank Credit (5)
2006-07,2006,,1931189.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_CSB1209.xls,8. Bank Credit (5)
2007-08,2007,,2361914.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_CSB1209.xls,8. Bank Credit (5)
2008-09,2008,,2775549.0,Credit,RBI_Bulletin_T1_Legacy,Annual,1T_CSB1209.xls,8. Bank Credit (5)
1990-91,1990,,1083572.0,GDP,RBI_Bulletin_T1_Legacy,Annual,1T_CSM080310.xls,1. Gross Domestic Product at Factor Cost (at 2004-05 prices)
2006-07,2006,,2871120.0,GDP,RBI_Bulletin_T1_Legacy,Annual,1T_CSM080310.xls,1. Gross Domestic Product at Factor Cost (at 2004-05 prices)
2007-08,2007,,3893457.0,GDP,RBI_Bulletin_T1_Legacy,Annual,1T_CSM080310.xls,1. Gross Domestic Product at Factor Cost (at 2004-05 prices)
1990-91,1990,,212.6,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_CSM080310.xls,3. General Index of Industrial Production (1)
2006-07,2006,,247.1,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_CSM080310.xls,3. General Index of Industrial Production (1)
2007-08,2007,,268.0,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_CSM080310.xls,3. General Index of Industrial Production (1)
2008-09,2008,,275.4,IIP,RBI_Bulletin_T1_Legacy,Annual,1T_CSM080310.xls,3. General Index of Industrial Production (1)
1990-91,1990,,192541.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,1T_CSM080310.xls,7. Aggregate Deposits (5)
